artist,bio,source,url,bio_clean
Jonas Brothers,"The Jonas Brothers are an American pop rock band formed in 2005 comprising brothers Kevin Jonas, Joe Jonas, and Nick Jonas. Raised in Wyckoff, New Jersey, the Jonas Brothers moved to Little Falls, New Jersey, in 2005, where they wrote their first record that made its release on Hollywood Records, a Disney-owned record label, after which they gained popularity from their appearances on Disney Channel. They starred in the 2008 Disney Channel Original Movie Camp Rock and its 2010 sequel, Camp Rock 2: The Final Jam. They also starred in their own Disney Channel series Jonas, which was rebranded as Jonas L.A. for its second season. The band has released seven albums: It's About Time (2006), Jonas Brothers (2007), A Little Bit Longer (2008), Lines, Vines and Trying Times (2009), Happiness Begins (2019), The Album (2023) and Greetings from Your Hometown (2025).",wikipedia,https://en.wikipedia.org/wiki/Jonas_Brothers,the jonas brothers are an american pop rock band formed in comprising brothers kevin jonas joe jonas and nick jonas raised in wyckoff new jersey the jonas brothers moved to little falls new jersey in where they wrote their first record that made its release on hollywood records a disney owned record label after which they gained popularity from their appearances on disney channel they starred in the disney channel original movie camp rock and its sequel camp rock the final jam they also starred in their own disney channel series jonas which was rebranded as jonas l a for its second season the band has released seven albums it s about time jonas brothers a little bit longer lines vines and trying times happiness begins the album and greetings from your hometown
Travis Scott,"Jacques Bermon Webster II, known professionally as Travis Scott, formerly stylized as Travi$ Scott, is an American rapper, singer, songwriter, and record producer. Scott has had five number-one hits on the U.S. Billboard Hot 100 chart, along with a total of over one hundred charting songs. In addition to ten Grammy Award nominations, he has won a Latin Grammy Award, Billboard Music Award, MTV Video Music Award, and several BET Hip Hop Awards. Scott's musical style has been described as a ""blend between traditional hip-hop and lo-fi"" and often characterized as an ""ambient"" drawing of notable influence from rappers Kanye West and Kid Cudi. His stage name is derived from the latter's real name, Scott Mescudi, combined with the name of a favorite uncle.",wikipedia,https://en.wikipedia.org/wiki/Travis_Scott,jacques bermon webster ii known professionally as travis scott formerly stylized as travi scott is an american rapper singer songwriter and record producer scott has had five number one hits on the u s billboard hot chart along with a total of over one hundred charting songs in addition to ten grammy award nominations he has won a latin grammy award billboard music award mtv video music award and several bet hip hop awards scott s musical style has been described as a blend between traditional hip hop and lo fi and often characterized as an ambient drawing of notable influence from rappers kanye west and kid cudi his stage name is derived from the latter s real name scott mescudi combined with the name of a favorite uncle
Chris Stapleton,"Christopher Alvin Stapleton is an American singer-songwriter and guitarist. Born in Kentucky, he moved to Nashville in 1996 to study for an engineering degree from Vanderbilt University, but dropped out to pursue a career in music. Shortly after, Stapleton signed a contract with Sea Gayle Music to write and publish his music.",wikipedia,https://en.wikipedia.org/wiki/Chris_Stapleton,christopher alvin stapleton is an american singer songwriter and guitarist born in kentucky he moved to nashville in to study for an engineering degree from vanderbilt university but dropped out to pursue a career in music shortly after stapleton signed a contract with sea gayle music to write and publish his music
SAINt JHN,"Carlos St. John Phillips, known professionally as Saint Jhn, is an American and Guyanese rapper and singer.",wikipedia,https://en.wikipedia.org/wiki/Saint_Jhn,carlos st john phillips known professionally as saint jhn is an american and guyanese rapper and singer
Cults,"Cults is an American indie pop band formed in New York City in 2010, comprising multi-instrumentalists Madeline Follin and Brian Oblivion. The band first rose to prominence after the release of their debut extended play, Cults 7"" (2010), which was released on their Bandcamp page. They signed with English singer Lily Allen's record label In the Name Of, an imprint of Sony Music, to release their eponymous debut studio album (2011). Their song ""Bad Things"" was sampled by American rapper J. Cole for his 2013 single ""She Knows"", on which they were credited as featured artists.",wikipedia,https://en.wikipedia.org/wiki/Cults_(band),cults is an american indie pop band formed in new york city in comprising multi instrumentalists madeline follin and brian oblivion the band first rose to prominence after the release of their debut extended play cults which was released on their bandcamp page they signed with english singer lily allen s record label in the name of an imprint of sony music to release their eponymous debut studio album their song bad things was sampled by american rapper j cole for his single she knows on which they were credited as featured artists
Metro Boomin,"Leland Tyler Wayne, known professionally as Metro Boomin, is an American record producer. Widely acclaimed for his dark and cinematic production style, he is regarded as one of the most influential producers in contemporary hip-hop and trap music. He has most notably worked with a string of artists including Future, 21 Savage, Migos, Gucci Mane, Kanye West, the Weeknd, Young Thug, Drake, and Travis Scott.",wikipedia,https://en.wikipedia.org/wiki/Metro_Boomin,leland tyler wayne known professionally as metro boomin is an american record producer widely acclaimed for his dark and cinematic production style he is regarded as one of the most influential producers in contemporary hip hop and trap music he has most notably worked with a string of artists including future savage migos gucci mane kanye west the weeknd young thug drake and travis scott
Ricky Montgomery,"Richard Owen Holmes Montgomery is an American singer-songwriter. He is best known for his breakout hits ""Mr. Loverman"" and ""Line Without a Hook,"" which went viral on TikTok in 2020.",wikipedia,https://en.wikipedia.org/wiki/Ricky_Montgomery,richard owen holmes montgomery is an american singer songwriter he is best known for his breakout hits mr loverman and line without a hook which went viral on tiktok in
Luke Combs,"Luke Albert Combs is an American country singer. He was born in North Carolina and grew up there, performing as a child. After leaving college to pursue a career in music, he moved to Nashville and released his debut EP, The Way She Rides, in 2014.",wikipedia,https://en.wikipedia.org/wiki/Luke_Combs,luke albert combs is an american country singer he was born in north carolina and grew up there performing as a child after leaving college to pursue a career in music he moved to nashville and released his debut ep the way she rides in
Ali Gatie,"Ali Gatie is an Iraqi–Canadian singer and songwriter managed by SAL&CO. In 2019, his song ""It's You"" achieved worldwide success, charting on the US Billboard Hot 100 peaked at number 70 and reaching the top 30 in Australia, Canada, Ireland and Sweden, as well as the top 10 in New Zealand and in Germany.",wikipedia,https://en.wikipedia.org/wiki/Ali_Gatie,ali gatie is an iraqi canadian singer and songwriter managed by sal co in his song it s you achieved worldwide success charting on the us billboard hot peaked at number and reaching the top in australia canada ireland and sweden as well as the top in new zealand and in germany
Van Morrison,"Sir George Ivan ""Van"" Morrison is a Northern Irish musician, singer, and songwriter whose recording career started in the 1960s. Morrison's albums have performed well in the UK and Ireland, with more than 40 reaching the UK Top 40, as well as internationally, including in Germany, the Netherlands and Switzerland.",wikipedia,https://en.wikipedia.org/wiki/Van_Morrison,sir george ivan van morrison is a northern irish musician singer and songwriter whose recording career started in the s morrison s albums have performed well in the uk and ireland with more than reaching the uk top as well as internationally including in germany the netherlands and switzerland
